Munsell Color Science Laboratory,http://www.cis.rit.edu/research/mcsl2/online/cie.php
Wavelength (nm),Relative intensity
360,0.023488429
361,0.024080665
362,0.02468345
363,0.025296978
364,0.025921247
365,0.026556372
366,0.02720243
367,0.027859535
368,0.028527764
369,0.029207193
370,0.029897898
371,0.030599957
372,0.031313484
373,0.032038517
374,0.032775132
375,0.033523444
376,0.03428353
377,0.035055389
378,0.035839214
379,0.036634965
380,0.037442757
381,0.038262704
382,0.039094885
383,0.039938915
384,0.04079556
385,0.041664819
386,0.042546311
387,0.043440035
388,0.044346756
389,0.045265709
390,0.046197277
391,0.047141841
392,0.048099021
393,0.049069197
394,0.05005237
395,0.051048157
396,0.052056941
397,0.053078723
398,0.054113883
399,0.055161658
400,0.056222812
401,0.057297345
402,0.058384875
403,0.059485784
404,0.06059969
405,0.061727357
406,0.062868021
407,0.064022446
408,0.065189869
409,0.066371052
410,0.067565615
411,0.068773557
412,0.069994878
413,0.07122996
414,0.072478421
415,0.073740644
416,0.075016246
417,0.076305609
418,0.077608734
419,0.078925238
420,0.080255503
421,0.081599147
422,0.082956552
423,0.084327719
424,0.085712265
425,0.087110573
426,0.088522641
427,0.089948471
428,0.091387681
429,0.092840651
430,0.094307001
431,0.095787112
432,0.097280984
433,0.098788236
434,0.100309248
435,0.10184364
436,0.103391794
437,0.104953326
438,0.10652862
439,0.10811691
440,0.109718962
441,0.111334393
442,0.112963586
443,0.114605775
444,0.116261344
445,0.117930291
446,0.119612618
447,0.121308323
448,0.123017026
449,0.124739107
450,0.126474186
451,0.128222261
452,0.129983716
453,0.131758167
454,0.133545615
455,0.13534606
456,0.13715912
457,0.138985176
458,0.140824229
459,0.142675897
460,0.144540562
461,0.146417459
462,0.148307352
463,0.150209479
464,0.152124219
465,0.154051575
466,0.155991162
467,0.157942982
468,0.159907034
469,0.161883701
470,0.163872218
471,0.165872585
472,0.167885567
473,0.169910016
474,0.171946698
475,0.173994847
476,0.176054847
477,0.178126696
478,0.180210014
479,0.182304799
480,0.184411052
481,0.186528773
482,0.188657961
483,0.190798235
484,0.192949595
485,0.195112423
486,0.197285953
487,0.199470188
488,0.201665507
489,0.20387153
490,0.206088638
491,0.208315686
492,0.210553818
493,0.21280189
494,0.215060665
495,0.21732976
496,0.219608795
497,0.221897768
498,0.224197063
499,0.226506296
500,0.228825085
501,0.231153814
502,0.233492099
503,0.23583994
504,0.238196956
505,0.24056391
506,0.242939656
507,0.245324959
508,0.247719054
509,0.250122323
510,0.252534384
511,0.254955237
512,0.257384882
513,0.259822937
514,0.262269402
515,0.264724658
516,0.267187942
517,0.269659636
518,0.272139357
519,0.274627105
520,0.277122881
521,0.279626303
522,0.282137369
523,0.284656081
524,0.287182437
525,0.289716057
526,0.292257322
527,0.294805468
528,0.297360876
529,0.299923166
530,0.302492336
531,0.305068386
532,0.307650935
533,0.310240365
534,0.312836293
535,0.315438338
536,0.31804688
537,0.320661157
538,0.323281932
539,0.325908823
540,0.328541066
541,0.331179425
542,0.333823136
543,0.33647258
544,0.339127759
545,0.341787907
546,0.344453406
547,0.347123875
548,0.349799313
549,0.352480103
550,0.35516548
551,0.357855445
552,0.360549996
553,0.363249134
554,0.365952477
555,0.368660408
556,0.371372543
557,0.374088501
558,0.376808664
559,0.379532267
560,0.382260074
561,0.384993234
562,0.387726394
563,0.390463376
564,0.393208003
565,0.39595263
566,0.39870108
567,0.40144953
568,0.404205625
569,0.40696172
570,0.409721638
571,0.412481556
572,0.415249119
573,0.418016682
574,0.420784245
575,0.42355563
576,0.426330838
577,0.429106047
578,0.431885077
579,0.434664108
580,0.437443139
581,0.440225992
582,0.443012668
583,0.445799344
584,0.44858602
585,0.451372696
586,0.454163194
587,0.456953693
588,0.459744192
589,0.462538513
590,0.465329011
591,0.468123332
592,0.470917654
593,0.473711975
594,0.476506296
595,0.479300617
596,0.482098761
597,0.484893082
598,0.487687403
599,0.490485547
600,0.493279868
601,0.496074189
602,0.49886851
603,0.501662831
604,0.50445333
605,0.507247651
606,0.51003815
607,0.512828648
608,0.515619147
609,0.518409645
610,0.521196321
611,0.523982997
612,0.526769673
613,0.529552526
614,0.53233538
615,0.535118233
616,0.537897264
617,0.540672472
618,0.54344768
619,0.546222888
620,0.548994274
621,0.551765659
622,0.554533222
623,0.557296963
624,0.560060703
625,0.562820621
626,0.565580538
627,0.568336634
628,0.571088906
629,0.573837356
630,0.576585806
631,0.579330433
632,0.582071238
633,0.584812043
634,0.587549025
635,0.590278362
636,0.593007699
637,0.595733213
638,0.598458727
639,0.601176597
640,0.603890643
641,0.60660469
642,0.609311091
643,0.61201367
644,0.614716248
645,0.617411182
646,0.620106115
647,0.622793404
648,0.625476869
649,0.628156513
650,0.630836156
651,0.633504331
652,0.636172506
653,0.638836859
654,0.641493567
655,0.644146451
656,0.646795514
657,0.649440754
658,0.652082171
659,0.654715943
660,0.657345892
661,0.659972019
662,0.6625905
663,0.665205159
664,0.667815995
665,0.670419186
666,0.673018555
667,0.675610278
668,0.678202002
669,0.680782257
670,0.683362513
671,0.6859313
672,0.688500088
673,0.69106123
674,0.693614728
675,0.696164402
676,0.698706432
677,0.701244639
678,0.7037752
679,0.70630194
680,0.708821033
681,0.711336305
682,0.713843931
683,0.716343912
684,0.71884007
685,0.721328583
686,0.723809451
687,0.726286496
688,0.728755896
689,0.731217651
690,0.733675584
691,0.736125871
692,0.738568512
693,0.741007332
694,0.743434683
695,0.745858212
696,0.748274096
697,0.750686157
698,0.75308675
699,0.755483521
700,0.757872646
701,0.760254126
702,0.762631784
703,0.764997974
704,0.767360341
705,0.769715063
706,0.772058318
707,0.774397749
708,0.776733358
709,0.7790575
710,0.781373996
711,0.783682846
712,0.785987875
713,0.788281435
714,0.790571173
715,0.792849443
716,0.79512389
717,0.797390693
718,0.799646027
719,0.801897539
720,0.804141406
721,0.806373804
722,0.808602381
723,0.810819489
724,0.813032775
725,0.815238416
726,0.817432588
727,0.819622939
728,0.821801821
729,0.823973058
730,0.826140473
731,0.82829642
732,0.830444721
733,0.832585378
734,0.834718389
735,0.836843755
736,0.838957653
737,0.841067729
738,0.843166337
739,0.845261122
740,0.847344439
741,0.849420111
742,0.851488138
743,0.85354852
744,0.855597434
745,0.857642526
746,0.859676149
747,0.861702128
748,0.863720461
749,0.865731149
750,0.867730369
751,0.869725767
752,0.871709696
753,0.873685981
754,0.87565462
755,0.877611792
756,0.879565141
757,0.881507022
758,0.883441258
759,0.885367849
760,0.887282972
761,0.889194272
762,0.891094105
763,0.89298247
764,0.894867012
765,0.896740086
766,0.898609338
767,0.900467122
768,0.902313438
769,0.904155932
770,0.905986957
771,0.907810338
772,0.909622251
773,0.911430341
774,0.913226963
775,0.91501594
776,0.916797272
777,0.918567136
778,0.920329355
779,0.922083929
780,0.923827035
781,0.925566318
782,0.927294134
783,0.929010482
784,0.930723007
785,0.932424064
786,0.934117476
787,0.935803243
788,0.937477542
789,0.939144196
790,0.940803205
791,0.942454568
792,0.944094464
793,0.945726715
794,0.94735132
795,0.948964457
796,0.95056995
797,0.952167797
798,0.953757999
799,0.955336733
800,0.956907822
801,0.958471266
802,0.960023241
803,0.961567572
804,0.963104258
805,0.964633298
806,0.96615087
807,0.967660798
808,0.96916308
809,0.970653894
810,0.972140886
811,0.97361641
812,0.975080466
813,0.976540699
814,0.977989465
815,0.979430585
816,0.980860238
817,0.982286068
818,0.98370043
819,0.985107147
820,0.986502397
821,0.987890001
822,0.98926996
823,0.990642273
824,0.992006942
825,0.993360143
826,0.994705698
827,0.996043608
828,0.997370051
829,0.998688848
830,1
