Munsell Color Science Laboratory,http://www.cis.rit.edu/research/mcsl2/online/cie.php
Wavelength (nm),Relative intensity
360,0.39587054
361,0.400497403
362,0.405124266
363,0.40975028
364,0.414377143
365,0.419004006
366,0.42363087
367,0.428257733
368,0.432883747
369,0.43751061
370,0.442137473
371,0.440343089
372,0.438549554
373,0.436755169
374,0.434961634
375,0.43316725
376,0.431372865
377,0.42957933
378,0.427784946
379,0.42599141
380,0.424197026
381,0.428163515
382,0.432129155
383,0.436095644
384,0.440062133
385,0.444027773
386,0.447994262
387,0.451960751
388,0.45592724
389,0.45989288
390,0.463859369
391,0.487716871
392,0.511573524
393,0.535431026
394,0.559288527
395,0.58314518
396,0.607002682
397,0.630860184
398,0.654717686
399,0.678574339
400,0.702431841
401,0.7098428
402,0.71725376
403,0.72466472
404,0.73207568
405,0.73948664
406,0.746898448
407,0.754309408
408,0.761720368
409,0.769131328
410,0.776542288
411,0.778194072
412,0.779845856
413,0.781496791
414,0.783148576
415,0.78480036
416,0.786452144
417,0.788103928
418,0.789754864
419,0.791406648
420,0.793058432
421,0.787328965
422,0.781600346
423,0.775870879
424,0.770142261
425,0.764412793
426,0.758684175
427,0.752954708
428,0.747226089
429,0.741496622
430,0.735768003
431,0.751201915
432,0.766634978
433,0.782068889
434,0.797502801
435,0.812935864
436,0.828369776
437,0.843803687
438,0.859233355
439,0.874673208
440,0.890104573
441,0.900409126
442,0.910722168
443,0.921026721
444,0.931331274
445,0.941635827
446,0.951948868
447,0.962253421
448,0.972557974
449,0.982871015
450,0.993175568
451,0.993854616
452,0.994542152
453,0.9952212
454,0.995908736
455,0.996587784
456,0.997266832
457,0.997954368
458,0.998633416
459,0.999320952
460,1
461,0.997496011
462,0.994992021
463,0.992488032
464,0.989984042
465,0.987471565
466,0.984967575
467,0.982463586
468,0.979959597
469,0.977455607
470,0.974951618
471,0.975851356
472,0.976751095
473,0.977659322
474,0.97855906
475,0.979458799
476,0.980358537
477,0.981258276
478,0.982166503
479,0.983066241
480,0.98396598
481,0.977930941
482,0.971895902
483,0.965852375
484,0.959817336
485,0.953782297
486,0.947747258
487,0.941712219
488,0.935668692
489,0.929633654
490,0.923598615
491,0.924056972
492,0.924523818
493,0.924982175
494,0.925440532
495,0.92589889
496,0.926365735
497,0.926824093
498,0.92728245
499,0.927749295
500,0.928207653
501,0.926891997
502,0.925576342
503,0.924252198
504,0.922936543
505,0.921620888
506,0.920305232
507,0.918989577
508,0.917665433
509,0.916349778
510,0.915034122
511,0.912479204
512,0.909924286
513,0.90736088
514,0.904805962
515,0.902251044
516,0.899696126
517,0.897141208
518,0.894577802
519,0.892022884
520,0.889467966
521,0.891929515
522,0.894391064
523,0.896852613
524,0.899314162
525,0.901767222
526,0.904228771
527,0.90669032
528,0.909151869
529,0.911613418
530,0.914074967
531,0.91129087
532,0.908498285
533,0.905714189
534,0.902921604
535,0.900137507
536,0.897353411
537,0.894560826
538,0.891776729
539,0.888984144
540,0.886200048
541,0.885894476
542,0.885588904
543,0.885283333
544,0.884977761
545,0.88467219
546,0.884375106
547,0.884069535
548,0.883763963
549,0.883458391
550,0.88315282
551,0.879715139
552,0.876285947
553,0.872848267
554,0.869419074
555,0.865981394
556,0.862543714
557,0.859114521
558,0.855676841
559,0.852247649
560,0.848809968
561,0.845698231
562,0.842586494
563,0.839475605
564,0.836363868
565,0.833252131
566,0.830140393
567,0.827028656
568,0.823917767
569,0.82080603
570,0.817694293
571,0.817230842
572,0.816767392
573,0.816303093
574,0.815839643
575,0.815376193
576,0.814912742
577,0.814449292
578,0.813984993
579,0.813521543
580,0.813058093
581,0.807029844
582,0.801000747
583,0.794972499
584,0.788943401
585,0.782915153
586,0.776886905
587,0.770857807
588,0.764829559
589,0.758800462
590,0.752772213
591,0.753893491
592,0.75501392
593,0.756135198
594,0.757255628
595,0.758376906
596,0.759498184
597,0.760618613
598,0.761739891
599,0.76286032
600,0.763981598
601,0.763636132
602,0.763290666
603,0.762945201
604,0.762599735
605,0.762253421
606,0.761907955
607,0.761562489
608,0.761217024
609,0.760871558
610,0.760526092
611,0.758913353
612,0.757299766
613,0.755687027
614,0.754073439
615,0.7524607
616,0.750847961
617,0.749234373
618,0.747621634
619,0.746008047
620,0.744395308
621,0.740652056
622,0.736908804
623,0.733165552
624,0.7294223
625,0.725678199
626,0.721934947
627,0.718191695
628,0.714448443
629,0.710705191
630,0.706961939
631,0.7073108
632,0.707658812
633,0.708007673
634,0.708355685
635,0.708704546
636,0.709053407
637,0.709401419
638,0.70975028
639,0.710098292
640,0.710447153
641,0.707330323
642,0.704212644
643,0.701095814
644,0.697978135
645,0.694861304
646,0.691744474
647,0.688626795
648,0.685509965
649,0.682392286
650,0.679275456
651,0.679435032
652,0.679594608
653,0.679753336
654,0.679912912
655,0.680072488
656,0.680232065
657,0.680391641
658,0.680550368
659,0.680709945
660,0.680869521
661,0.682620616
662,0.684371711
663,0.686123655
664,0.68787475
665,0.689625845
666,0.69137694
667,0.693128034
668,0.694879978
669,0.696631073
670,0.698382168
671,0.694992021
672,0.691602723
673,0.688212576
674,0.684823278
675,0.681433131
676,0.678042984
677,0.674653686
678,0.671263539
679,0.66787424
680,0.664484093
681,0.657215734
682,0.649947374
683,0.642679014
684,0.635410654
685,0.628142295
686,0.620874784
687,0.613606424
688,0.606338064
689,0.599069704
690,0.591801345
691,0.593403898
692,0.595006451
693,0.596608155
694,0.598210709
695,0.599813262
696,0.601415815
697,0.603018368
698,0.604620073
699,0.606222626
700,0.607825179
701,0.610150918
702,0.612476658
703,0.614802397
704,0.617128136
705,0.619453027
706,0.621778766
707,0.624104505
708,0.626430245
709,0.628755984
710,0.631081723
711,0.62026364
712,0.609445557
713,0.598627474
714,0.587809391
715,0.576991308
716,0.566173225
717,0.555355142
718,0.544537059
719,0.533718976
720,0.522900893
721,0.529930737
722,0.536959732
723,0.543989577
724,0.551018572
725,0.558048416
726,0.56507826
727,0.572107256
728,0.5791371
729,0.586166095
730,0.593195939
731,0.5976106
732,0.602026109
733,0.60644077
734,0.610856279
735,0.61527094
736,0.619685601
737,0.62410111
738,0.628515771
739,0.63293128
740,0.637345941
741,0.627589719
742,0.617832649
743,0.608076427
744,0.598320205
745,0.588563134
746,0.578806913
747,0.569050691
748,0.559294469
749,0.549537399
750,0.539781177
751,0.525202866
752,0.510625403
753,0.496047092
754,0.48146963
755,0.466891318
756,0.452313856
757,0.437735545
758,0.423158082
759,0.408579771
760,0.394002309
761,0.411306998
762,0.428611686
763,0.445917224
764,0.463221913
765,0.480526602
766,0.497831291
767,0.515135979
768,0.532441517
769,0.549746206
770,0.567050895
771,0.564145418
772,0.56124079
773,0.558335314
774,0.555430686
775,0.55252521
776,0.549619733
777,0.546715105
778,0.543809629
779,0.540905001
780,0.537999525
781,0.538781279
782,0.539563033
783,0.540345635
784,0.541127389
785,0.541909143
786,0.542690897
787,0.543472651
788,0.544255254
789,0.545037008
790,0.545818762
791,0.541700336
792,0.53758191
793,0.533463484
794,0.529345058
795,0.525225783
796,0.521107357
797,0.516988932
798,0.512870506
799,0.50875208
800,0.504633654
801,0.498273521
802,0.491913387
803,0.485553254
804,0.479193121
805,0.472832988
806,0.466473704
807,0.460113571
808,0.453753438
809,0.447393305
810,0.441033171
811,0.445686348
812,0.450338675
813,0.454991851
814,0.459644179
815,0.464297355
816,0.468950531
817,0.473602859
818,0.478256035
819,0.482908362
820,0.487561539
821,0.489999321
822,0.492437103
823,0.494874885
824,0.497312668
825,0.499749601
826,0.502187383
827,0.504625166
828,0.507062948
829,0.50950073
830,0.511938512
