Downloaded from “RefractiveIndex.INFO,http://refractiveindex.info/
Wavelength (nm),n
300,2.5407106686
305,2.5345747518
310,2.5288074689
315,2.5233778517
320,2.5182583397
325,2.5134243109
330,2.50885369
335,2.5045266202
340,2.5004251859
345,2.4965331769
350,2.492835887
355,2.4893199414
360,2.4859731477
365,2.4827843672
370,2.4797434019
375,2.4768408978
380,2.474068258
385,2.4714175681
390,2.4688815299
395,2.4664534019
400,2.4641269479
405,2.4618963907
410,2.4597563706
415,2.4577019084
420,2.4557283732
425,2.4538314517
430,2.4520071225
435,2.4502516317
440,2.4485614712
445,2.4469333592
450,2.4453642226
455,2.4438511808
460,2.442391531
465,2.4409827348
470,2.4396224064
475,2.4383083012
480,2.4370383057
485,2.4358104285
490,2.4346227914
495,2.4334736216
500,2.4323612451
505,2.4312840793
510,2.4302406275
515,2.4292294731
520,2.4282492743
525,2.4272987595
530,2.4263767227
535,2.4254820197
540,2.424613564
545,2.4237703233
550,2.4229513164
555,2.4221556101
560,2.4213823163
565,2.4206305893
570,2.4198996237
575,2.4191886517
580,2.4184969411
585,2.4178237935
590,2.4171685422
595,2.4165305504
600,2.41590921
605,2.4153039396
610,2.4147141833
615,2.4141394092
620,2.4135791085
625,2.4130327937
630,2.4124999983
635,2.411980275
640,2.4114731951
645,2.4109783477
650,2.4104953383
655,2.4100237886
660,2.4095633353
665,2.4091136297
670,2.4086743367
675,2.4082451341
680,2.4078257126
685,2.4074157744
690,2.4070150332
695,2.4066232135
700,2.4062400502
705,2.405865288
710,2.4054986809
715,2.4051399922
720,2.4047889935
725,2.4044454649
730,2.404109194
735,2.4037799765
740,2.4034576147
745,2.4031419183
750,2.4028327034
755,2.4025297924
760,2.402233014
765,2.4019422024
770,2.4016571977
775,2.4013778452
780,2.4011039954
785,2.4008355037
790,2.4005722304
795,2.4003140401
800,2.4000608021
805,2.3998123896
810,2.3995686801
815,2.3993295548
820,2.3990948987
825,2.3988646005
830,2.3986385524
