Downloaded from “RefractiveIndex.INFO”,http://refractiveindex.info/
Wavelength (nm),n
300,1.0002915686
305,1.0002908814
310,1.0002902324
315,1.0002896186
320,1.0002890376
325,1.0002884869
330,1.0002879644
335,1.0002874681
340,1.0002869963
345,1.0002865473
350,1.0002861196
355,1.0002857119
360,1.0002853228
365,1.0002849513
370,1.0002845963
375,1.0002842568
380,1.0002839318
385,1.0002836206
390,1.0002833223
395,1.0002830363
400,1.0002827618
405,1.0002824983
410,1.0002822451
415,1.0002820017
420,1.0002817676
425,1.0002815423
430,1.0002813253
435,1.0002811164
440,1.0002809149
445,1.0002807207
450,1.0002805334
455,1.0002803525
460,1.0002801779
465,1.0002800092
470,1.0002798462
475,1.0002796886
480,1.0002795362
485,1.0002793887
490,1.0002792459
495,1.0002791077
500,1.0002789738
505,1.0002788441
510,1.0002787183
515,1.0002785964
520,1.0002784781
525,1.0002783633
530,1.000278252
535,1.0002781438
540,1.0002780388
545,1.0002779368
550,1.0002778376
555,1.0002777413
560,1.0002776476
565,1.0002775565
570,1.0002774678
575,1.0002773816
580,1.0002772976
585,1.0002772159
590,1.0002771363
595,1.0002770588
600,1.0002769833
605,1.0002769097
610,1.0002768379
615,1.000276768
620,1.0002766998
625,1.0002766333
630,1.0002765684
635,1.0002765051
640,1.0002764433
645,1.000276383
650,1.0002763241
655,1.0002762665
660,1.0002762104
665,1.0002761555
670,1.0002761019
675,1.0002760495
680,1.0002759983
685,1.0002759482
690,1.0002758992
695,1.0002758513
700,1.0002758045
705,1.0002757587
710,1.0002757139
715,1.00027567
720,1.000275627
725,1.000275585
730,1.0002755439
735,1.0002755036
740,1.0002754641
745,1.0002754254
750,1.0002753876
755,1.0002753505
760,1.0002753141
765,1.0002752785
770,1.0002752435
775,1.0002752093
780,1.0002751757
785,1.0002751428
790,1.0002751105
795,1.0002750789
800,1.0002750478
805,1.0002750173
810,1.0002749874
815,1.0002749581
820,1.0002749293
825,1.000274901
830,1.0002748733
