"Downloaded from "THORLABS",https://www.thorlabs.co.jp/NewGroupPage9.cfm?ObjectGroup_ID=148
Wavelength (nm),Refractive index
320,1.696015997
330,1.687661228
340,1.680474916
350,1.674223707
360,1.668734299
370,1.663874858
380,1.65954303
390,1.655657945
400,1.65215474
410,1.648980697
420,1.646092474
430,1.643454064
440,1.641035287
450,1.638810634
460,1.636758386
470,1.634859926
480,1.6330992
490,1.631462285
500,1.629937046
510,1.628512857
520,1.627180369
530,1.625931328
540,1.624758415
550,1.623655123
560,1.62261564
570,1.621634767
580,1.620707832
590,1.619830632
600,1.618999372
610,1.618210619
620,1.617461258
630,1.61674846
640,1.616069645
650,1.615422463
660,1.614804761
670,1.614214569
680,1.61365008
690,1.613109631
700,1.612591693
710,1.612094855
720,1.611617815
730,1.61115937
740,1.610718404
750,1.610293883
760,1.609884849
770,1.609490411
780,1.609109737
790,1.608742057
800,1.608386648
810,1.608042839
820,1.607710001
830,1.607387546
840,1.607074923
850,1.606771617
860,1.606477144
870,1.606191048
880,1.605912905
890,1.605642311
900,1.605378889
910,1.605122283
920,1.604872158
930,1.604628198
940,1.604390102
950,1.60415759
960,1.603930394
970,1.603708263
980,1.603490956
990,1.603278248
1000,1.603069924
1010,1.60286578
1020,1.602665625
1030,1.602469273
1040,1.602276552
1050,1.602087296
1060,1.601901347
1070,1.601718555
1080,1.601538777
1090,1.601361879
1100,1.601187729
1110,1.601016205
1120,1.600847189
1130,1.600680568
1140,1.600516234
1150,1.600354086
1160,1.600194025
1170,1.600035957
1180,1.599879792
1190,1.599725445
1200,1.599572833
1210,1.599421878
1220,1.599272503
1230,1.599124637
1240,1.59897821
1250,1.598833155
1260,1.598689409
1270,1.598546909
1280,1.598405598
1290,1.598265418
1300,1.598126316
1310,1.597988237
1320,1.597851133
1330,1.597714955
1340,1.597579655
1350,1.597445189
1360,1.597311515
1370,1.597178589
1380,1.597046371
1390,1.596914824
1400,1.596783909
1410,1.596653591
1420,1.596523834
1430,1.596394604
1440,1.596265871
1450,1.596137601
1460,1.596009765
1470,1.595882333
1480,1.595755277
1490,1.59562857
1500,1.595502185
1510,1.595376096
1520,1.595250278
1530,1.595124708
1540,1.594999361
1550,1.594874216
1560,1.59474925
1570,1.594624443
1580,1.594499773
1590,1.59437522
1600,1.594250766
1610,1.59412639
1620,1.594002076
1630,1.593877805
1640,1.59375356
1650,1.593629324
1660,1.593505081
1670,1.593380815
1680,1.593256511
1690,1.593132153
1700,1.593007727
1710,1.592883219
1720,1.592758615
1730,1.592633901
1740,1.592509065
1750,1.592384093
1760,1.592258973
1770,1.592133693
1780,1.592008241
1790,1.591882606
1800,1.591756776
1810,1.59163074
1820,1.591504488
1830,1.591378008
1840,1.591251291
1850,1.591124327
1860,1.590997105
1870,1.590869617
1880,1.590741853
1890,1.590613803
1900,1.59048546
1910,1.590356813
1920,1.590227854
1930,1.590098576
1940,1.589968969
1950,1.589839026
1960,1.589708738
1970,1.589578099
1980,1.5894471
1990,1.589315734
2000,1.589183993
2010,1.589051871
2020,1.58891936
2030,1.588786454
2040,1.588653145
2050,1.588519427
2060,1.588385293
2070,1.588250737
2080,1.588115753
2090,1.587980335
2100,1.587844475
2110,1.587708168
2120,1.587571409
2130,1.587434191
2140,1.587296508
2150,1.587158356
2160,1.587019727
2170,1.586880617
2180,1.586741021
2190,1.586600932
2200,1.586460346
2210,1.586319258
2220,1.586177661
2230,1.586035552
2240,1.585892925
2250,1.585749775
2260,1.585606097
2270,1.585461887
2280,1.585317139
2290,1.585171849
2300,1.585026013
2310,1.584879624
2320,1.58473268
2330,1.584585175
2340,1.584437105
2350,1.584288466
2360,1.584139252
2370,1.58398946
2380,1.583839085
2390,1.583688124
2400,1.583536571
2410,1.583384423
2420,1.583231675
2430,1.583078323
2440,1.582924364
2450,1.582769792
2460,1.582614604
2470,1.582458797
2480,1.582302365
2490,1.582145305
2500,1.581987613
